question_id;question_type;prompt_md;explanation_md;topic;subtopic;difficulty;points;time_estimate_sec;source_id;source_locator;tags;language;correct_answer_md;answer_tolerance
Q0037;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a 105-ös kétáramkörös kapcsolóra!;A kétáramkörös kapcsoló két külön fogyasztói csoportot kapcsolhat egy helyről.;kapcsolók;csillárkapcsoló;1;1;15;S0014;105-ös kapcsoló;105,csillár,kétáramkör;hu;;
Q0038;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a 106-os váltókapcsolóra!;A váltókapcsoló egy fogyasztó két helyről történő kapcsolására szolgál.;kapcsolók;váltókapcsoló;1;1;15;S0014;106-os kapcsoló;106,váltó,alternatív;hu;;
Q0039;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a 107-es keresztkapcsolóra!;A keresztkapcsoló a két váltókapcsoló közé iktatott köztes kapcsoló, amely a két alternatív szálat cseréli meg.;kapcsolók;keresztkapcsoló;1;1;20;S0014;107-es kapcsoló;107,kereszt,váltó;hu;;
Q0040;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a vezérlés hatásláncára!;A vezérlés hatásláncában rendelkező szerv, érzékelő szerv, jelformáló szerv és beavatkozó szerv szerepel.;vezérlések;hatáslánc;2;1;20;S0013;vezérlés hatáslánca;vezérlés,hatáslánc,relé,mágneskapcsoló;hu;;
Q0041;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a szabályzásra!;A szabályzás a kimenet figyelésére és visszacsatolásra épül.;vezérlések;szabályzás;2;1;20;S0013;szabályzás;szabályzás,visszacsatolás,stabilizálás;hu;;
Q0042;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a mágneskapcsolóra!;A mágneskapcsoló elektromágneses működésű kapcsolóelem, amelynek segédérintkezői bővíthetők.;vezérlések;mágneskapcsoló;1;1;20;S0013;mágneskapcsoló;mágneskapcsoló,érintkező,vezérlés;hu;;
Q0043;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a motorvédő kapcsolóra és a hőrelére!;A motorvédő és a hőrelé a motor túlterhelés elleni védelmében használható.;védelem;motorvédelem;2;1;20;S0013;motorvédelem;motorvédő,hőrelé,túlterhelés;hu;;
Q0044;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a lépcsőházi automata működésére!;A lépcsőházi automata időrelé jellegű megoldás, amely a nyomógomb működtetése után időzítve kapcsol le.;vezérlések;lépcsőházi automata;2;1;20;S0013;lépcsőházi automata;időrelé,lépcsőház,nyomógomb;hu;;
Q0045;multi_choice;Válassza ki azokat az állításokat, amelyek igazak az impulzusrelére!;Az impulzusrelé minden nyomó működtetésre átkapcsolja az állapotát, ezért sokhelyes világításvezérlésnél hasznos.;vezérlések;impulzusrelé;2;1;20;S0013;impulzusrelé;impulzusrelé,nyomógomb,világításvezérlés;hu;;
Q0046;multi_choice;Válassza ki, mely tényezők befolyásolják az áramütéses baleset súlyosságát!;A forrás szerint az áram nagysága, az időtartam, a testellenállás, az áram útja és a személy állapota is számít.;érintésvédelem;áramütés;2;1;20;S0018;1-2;áramütés,testellenállás,áramút;hu;;
Q0047;multi_choice;Válassza ki a közvetett érintés elleni védelem módjait!;A forrás hat közvetett érintés elleni védelmi megoldást sorol fel.;érintésvédelem;közvetett érintés;2;1;25;S0018;4-6;érintésvédelem,hiba elleni védelem;hu;;
Q0048;single_choice;Melyik rendszerben külön vezetett a nulla- és védővezető?;A TN-S rendszerben külön N és PE vezető van.;érintésvédelem;TN-S rendszer;1;1;10;S0018;5-7;TN-S,PE,N;hu;;
Q0049;single_choice;Mit jelent a PEN vezető rövidítés?;A PEN közös védő- és nullavezetőt jelent.;érintésvédelem;PEN vezető;1;1;10;S0018;5-7;PEN,vezető;hu;;
Q0050;single_choice;Mennyi az általános veszélyes érintési feszültség határértéke váltakozóáramnál?;A forrás 50V AC és 120V DC határértéket ad meg.;érintésvédelem;érintési feszültség;1;1;10;S0018;1-4;érintési feszültség,határérték;hu;;
Q0051;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a TN rendszerre!;A TN rendszerben a TN-C, TN-S és TN-C-S változatok is előfordulnak, és testzárlatnál a túláramvédelmi szervnek kell lekapcsolnia.;érintésvédelem;TN rendszer;2;1;20;S0018;5-8;TN,TN-C,TN-S,TN-C-S;hu;;
Q0052;multi_choice;Válassza ki a FAM munkamódszereit!;A forrás három FAM munkamódszert különböztet meg.;érintésvédelem;FAM;2;1;20;S0019;1-2;FAM,munkamódszer;hu;;
Q0053;single_choice;Melyik dokumentum szabályozza a FAM eszközök átvételi és periodikus vizsgálatait?;A forrás szerint ezt az ÁPVGY tartalmazza.;érintésvédelem;FAM eszközök;2;1;10;S0019;2;FAM,ÁPVGY;hu;;
Q0054;multi_choice;Válassza ki a FAM eszközök minősítésének szempontjait!;A forrás öt minősítési szempontot sorol fel.;érintésvédelem;FAM eszközök;2;1;20;S0019;2;FAM,minősítés;hu;;
Q0055;single_choice;Melyik a legvékonyabb falú cső?;A forrás szerint a Mü I a legvékonyabb falú cső.;kapcsolók;védőcső;1;1;10;S0015;79-80;védőcső,Mü I;hu;;
Q0056;single_choice;Mire utal az IP20 jelölésben az első számjegy?;Az első számjegy a szilárd tárgyak szerkezetbe jutása elleni mechanikai védettséget jelöli.;védettség;IP20;1;1;10;S0022;3;IP20,védettség;hu;;
Q0057;single_choice;Melyik jelölés tartozik a II. érintésvédelmi osztályhoz?;A II. érintésvédelmi osztályt a kettős vagy megerősített szigetelés jele mutatja.;érintésvédelem;érintésvédelmi osztály;1;1;10;S0022;6;II. osztály,kettős szigetelés;hu;;
Q0058;single_choice;Mekkora az Uo értéke a Zs x Ia ≤ Uo képletben 230/400 V-os hálózaton?;A háromfázisú 230/400 V-os hálózatban az Uo értéke 230 V.;érintésvédelem;hibavédelem;1;1;10;S0021;4;Uo,hurokimpedancia;hu;;
Q0059;single_choice;Hogyan ellenőrzik a szerelői ellenőrzésnél a berendezést?;A szerelői ellenőrzésnél a berendezést megbontás nélkül, szemrevételezéssel ellenőrzik.;vizsga;szerelői ellenőrzés;1;1;10;S0021;11;szerelői ellenőrzés;hu;;
Q0060;multi_choice;Válassza ki a szerelői ellenőrzés és üzembe helyezés feladatait!;A forrás szerint a folytonosságvizsgálat, szigetelési ellenállás ellenőrzése, feszültség alá helyezés és működési próba tartozik ide.;vizsga;szerelői ellenőrzés;2;1;20;S0021;11;szerelői ellenőrzés,üzembe helyezés;hu;;
Q0061;single_choice;Milyen értékre kell beállítani a hőkioldót?;A hőkioldót a motor névleges áramának értékére kell állítani.;védelem;hőkioldó;1;1;10;S0021;10;hőkioldó,motorvédelem;hu;;
Q0062;single_choice;Mekkora a minimális réz védővezető keresztmetszete, ha a fázis- és nullavezető 10 mm2?;A forrás szerint ebben az esetben a minimális PE keresztmetszet 10 mm2.;érintésvédelem;védővezető keresztmetszet;1;1;10;S0025;6;PE,keresztmetszet;hu;;
Q0063;single_choice;Megfelelő-e a 12,5 ohmos hurokimpedancia egy 30 mA-es áram-védőkapcsolóval kiegészített hibavédelemhez?;A megadott 12,5 ohm érték megfelelő, mert kisebb a szükséges határértéknél.;érintésvédelem;hurokimpedancia;2;1;15;S0020;8;hurokimpedancia,ÁVK;hu;;
Q0064;single_choice;Válassza ki a helyes áramfelvételt egy 400 V-os, háromfázisú, 1200 W-os, cos φ = 0,8 motorra!;A helyes áramfelvétel a háromfázisú képletből számítható.;villamos-alapok;háromfázisú motor;2;1;15;S0024;5;motoráram,cosφ;hu;;
Q0065;single_choice;Miért előnyösebb a TN-C-S nullázott hibavédelem áram-védőkapcsolóval kiegészítve, mint a TT földelt hibavédelem?;Azért előnyösebb, mert a hurokimpedancia akár nagyobb is lehet, és az áram-védőkapcsoló így növeli a hibavédelem hatékonyságát.;érintésvédelem;TN-C-S hibavédelem;2;1;15;S0028;1;TN-C-S,ÁVK,TT;hu;;
Q0066;single_choice;Mit jelent a kismegszakítón a „6000” jelölés?;A 6000 a kismegszakító zárlati szilárdságára, azaz a 6 kA megszakítóképességre utal.;védelem;kismegszakító;1;1;10;S0029;5;kismegszakító,6000;hu;;
Q0067;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a CE B 10 ~230/400V 6000 jelölésű kismegszakítóra!;A forrás szerint ez a kismegszakító 230/400 V váltakozó feszültségre való, 10 A névleges áramú, B karakterisztikájú, és 6 kA zárlati szilárdságú.;védelem;kismegszakító jelölés;2;1;20;S0029;5;kismegszakító,jelölés,B karakterisztika;hu;;
Q0068;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a párhuzamosan kapcsolt egyfázisú fogyasztókra!;A párhuzamos kapcsolásnál minden fogyasztóra azonos feszültség jut, és a fogyasztók számának növelésével nő a hálózat áramfelvétele.;villamos-alapok;párhuzamos kapcsolás;2;1;20;S0029;5;párhuzamos,egyfázisú fogyasztó;hu;;
Q0069;single_choice;Mi az áram-védőkapcsoló feladata a hibavédelem rendszerében?;Az áram-védőkapcsoló a hibavédelem hatékonyságának növelésére szolgál.;érintésvédelem;ÁVK;1;1;10;S0026;5;ÁVK,hibavédelem;hu;;
Q0070;single_choice;Hány vezeték található a B jelű áramköri szakaszon?;A forrás szerint a B szakaszon 6 vezeték van.;vezetékek;vezetékek száma;1;1;10;S0029;7;vezetékszám,kapcsolási rajz;hu;;
Q0071;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a párhuzamosan kapcsolt egyfázisú fogyasztókra!;A forrás szerint a párhuzamos kapcsolásnál többek között azonos feszültség jut minden fogyasztóra, nő a hálózati áramfelvétel, és az eredő ellenállás a legkisebb egyedi ellenállás alá esik.;villamos-alapok;párhuzamos kapcsolás;2;1;20;S0029;5;párhuzamos,egyfázisú fogyasztó;hu;;
Q0072;multi_choice;Válassza ki azokat az állításokat, amelyek igazak a II. érintésvédelmi osztályú villamos berendezésre!;A forrás szerint a II. érintésvédelmi osztályú berendezés földelni tilos, a kettős négyzet jelöli, kisfeszültségű betáplálású lehet, és ide tartoznak a megerősített szigetelésű eszközök is.;érintésvédelem;érintésvédelmi osztály;2;1;20;S0029;6;II. osztály,kettős szigetelés;hu;;
Q0073;single_choice;A TN-C-S rendszerben, az ÁVK-val kiegészített hibavédelemnél hogyan viszonyuljon egymáshoz az N és PE sín az elosztótáblán?;A szétválasztás után az N és PE sínt nem szabad fémesen összekötni.;érintésvédelem;TN-C-S rendszer;1;1;10;S0028;4;TN-C-S,N,PE,ÁVK;hu;;
Q0074;single_choice;Mekkora a megengedett hurokimpedancia határértéke egy 30 mA-es áram-védőkapcsolóval kiegészített hibavédelemnél?;A 30 mA-es ÁVK esetén a forrás szerint a határérték 7666 ohm körül van.;érintésvédelem;hurokimpedancia;2;1;15;S0027;7;hurokimpedancia,ÁVK;hu;;
Q0075;single_choice;Mi a feszültségmentesítés első műveleti lépése?;A forrás szerinti helyes sorrendben először a teljes leválasztást kell elvégezni.;biztonság;feszültségmentesítés;1;1;10;S0030;11;feszültségmentesítés,biztonság;hu;;
Q0076;single_choice;Melyik kapcsolótípus az, amelyik két billentyűvel két külön áramkört vezérel?;A két áramkörös, csillárkapcsoló két külön áramkört tud kapcsolni.;kapcsolók;kapcsolótípusok;1;1;10;S0030;9;csillárkapcsoló,kapcsolótípus;hu;;
Q0077;multi_choice;Válassza ki azokat az állításokat, amelyek igazak az áram-védőkapcsoló adattáblájára!;A forrás szerint az IΔn az érzékenységet, az AC az áramnemet, az ABB a gyártót, a 25 A a névleges áramot, az Im = 1000 A a maximális megszakítóképességet, az Un = 230 V a névleges feszültséget, a F 202 pedig a típust jelöli.;érintésvédelem;ÁVK adattábla;2;1;20;S0030;6;ÁVK,adattábla,jelölések;hu;;
Q0078;ordering;Rendezze sorba a falba süllyesztett, vékonyfalú műanyag védőcsővel kialakított villanyszerelés fő munkafázisait!;A forrás a technológiai sorrendet is megadja, ezt kell visszaállítani.;vezetékek;technológiai sorrend;2;2;30;S0029;10;technológia,sorrend,védőcső;hu;;
Q0079;matching;Párosítsa az ÁVK adattábla jelöléseit a jelentésükkel!;A forrás az összes jelöléshez megadja a megfelelő jelentést.;érintésvédelem;ÁVK adattábla;2;2;30;S0030;6;ÁVK,adattábla,párosítás;hu;;
Q0080;grouping;Csoportosítsa a vezetőszíneket a szerepük szerint!;A forrás alapján a fázisvezetők, a nullavezető és a védővezető színei egyértelműen besorolhatók.;vezetékek;vezetőszínek;2;2;20;S0015;136-137;vezetőszínek,csoportosítás;hu;;
Q0081;list_choice;Mit jelent a kismegszakítón a „6000” jelölés?;A 6000 a kismegszakító zárlati szilárdságára, azaz a 6 kA megszakítóképességre utal.;védelem;kismegszakító;1;1;10;S0029;5;kismegszakító,6000;hu;;
Q0082;numeric_entry;Mekkora a párhuzamosan kapcsolódó rúdföldelők eredő ellenállása? Kettő tizedes pontossággal számoljon!;A forrás szerint az eredő ellenállás 4,90 ohm.;érintésvédelem;földelők;2;1;20;S0028;4;földelők,eredő ellenállás;hu;4.90;0
Q0083;true_false;Az IP20 jelölés első számjegye a szilárd tárgyak szerkezetbe jutása elleni védettséget jelöli.;A forrás szerint az első számjegy valóban a szilárd tárgyak elleni védettséget jelöli.;védettség;IP20;1;1;10;S0022;3;IP20,védettség;hu;;
Q0084;true_false;A II. érintésvédelmi osztályú villamos berendezést földelni kell.;A forrás szerint a II. érintésvédelmi osztályú berendezést földelni tilos.;érintésvédelem;érintésvédelmi osztály;1;1;10;S0022;6;II. osztály,földelés;hu;;
Q0085;true_false;A TN-C-S rendszerben a szétválasztás után az N és PE sínt fémesen össze lehet kötni.;A forrás szerint a szétválasztás után ezt nem szabad megtenni.;érintésvédelem;TN-C-S rendszer;1;1;10;S0028;4;TN-C-S,N,PE;hu;;
Q0086;true_false;A kismegszakítón a 6000 jelölés a névleges áramerősséget mutatja.;A forrás szerint a 6000 a zárlati szilárdságra, azaz a megszakítóképességre utal.;védelem;kismegszakító;1;1;10;S0029;5;kismegszakító,6000;hu;;
Q0087;true_false;Párhuzamos kapcsolásnál minden fogyasztóra azonos feszültség jut.;A párhuzamos kapcsolásnál minden fogyasztóra azonos feszültség jut.;villamos-alapok;párhuzamos kapcsolás;1;1;10;S0029;5;párhuzamos,egyfázisú fogyasztó;hu;;
Q0088;true_false;A feszültségmentesítés első lépése a teljes leválasztás.;A forrás szerinti helyes sorrendben valóban ez az első lépés.;biztonság;feszültségmentesítés;1;1;10;S0029;11;feszültségmentesítés,biztonság;hu;;
Q0089;true_false;Az IP20 jelölés második számjegye a víz elleni védettséget jelöli.;A forrás szerint a második számjegy a víz elleni védettséget jelöli.;védettség;IP20;1;1;10;S0022;3;IP20,védettség;hu;;
Q0090;true_false;Az áram-védőkapcsoló önálló túláramvédelmi eszköz.;Az áram-védőkapcsoló nem túláramvédelemre szolgál, hanem a hibavédelem hatékonyságát növeli.;érintésvédelem;ÁVK;1;1;10;S0026;5;ÁVK,túláramvédelem;hu;;
Q0091;single_choice;Mi látható a képen?;A fotó egy nyitott motorvezérlő központot mutat, amely fiókos modulokkal és vezérlőelemekkel szerelt ipari szekrény.;villamos-berendezések;szekrények;2;1;20;S0031;6.1.4 fejezet;szekrény,motorvezérlő központ,ipari berendezés;hu;;
Q0092;true_false;A képen kábelbevezetésre szolgáló tömszelence látható.;A képen egy kábelbevezető tömszelence látható, amely a vezeték rögzítésére és tömítésére szolgál.;vezetékek;tömszelence;1;1;10;S0031;6.1.4 fejezet;tömszelence,kábelbevezetés,igaz-hamis;hu;;
Q0093;single_choice;Az ábra szerint melyik vezetékszakasz 4 vezetékes?;A táblázat szerint az e jelű vezetékszakaszhoz 4 vezeték tartozik, a többihez 3.;vezetékek;vezetékakaszok;1;1;15;S0032;3. oldal;vezetékek,vezetékszám,ábra;hu;;
Q0094;ordering;Rendezze sorba a falba süllyesztett, vékony falú műanyag védőcsővel kialakított szerelés főbb munkafázisait!;A munkafázisok sorrendje: előkészület, nyomvonal kijelölése, horony- és fészekvésés, dobozok beépítése, védőcsövek fektetése, hornyok elvakolása, vezetékek behúzása, kötések elkészítése, ellenőrzés és üzembe helyezés.;vezetékek;technológia;2;1;45;S0032;5. oldal;ordering,technológia,védőcső;hu;;
Q0095;multi_choice;Az alábbi kismegszakító-adattábla alapján mely megállapítások helyesek?;A B10 jelölés 10 A névleges áramot és B karakterisztikát jelent. A 230/400 V a névleges feszültség, a 6000 pedig 6 kA megszakítóképesség.;védelem;kismegszakító;2;1;35;S0023;5. oldal;kismegszakító,multi_choice,adatlap;hu;;
Q0096;numeric_entry;Mekkora a ventilátor áramfelvétele?;I = P / (U · cos φ) = 600 / (230 · 0,8) ≈ 3,26 A.;számítás;áramfelvétel;3;1;40;S0023;9. oldal;számítás,áramfelvétel,numeric;hu;3.26;0.02
Q0097;numeric_entry;Mekkora a ventilátor napi villamos fogyasztása?;510 perc = 8,5 óra, a 600 W = 0,6 kW, ezért a napi villamos fogyasztás 0,6 × 8,5 = 5,1 kWh.;számítás;fogyasztás;2;1;35;S0023;9. oldal;számítás,kWh,numeric;hu;5.1;0.05
Q0098;grouping;Csoportosítsa a villamos szerelvények rajzjeleit funkció szerint!;A dugaszolóaljzatok, a kapcsolók és a világítótestek külön funkcionális csoportba rendezhetők.;rajzjelek;szerelvények;2;1;35;S0023;14. oldal;grouping,rajzjelek,szerelvények;hu;;
Q0099;single_choice;Az ábra szerint milyen kapcsoló vezérli a három világítótestet?;A rajzon váltókapcsolóval vezérelt világítási kör látható.;kapcsolók;világítási kör;1;1;20;S0032;4. oldal;kapcsolók,váltókapcsoló,ábra;hu;;
Q0100;true_false;A B10 jelölés 10 A névleges áramot és B kioldási karakterisztikát jelent.;A B betű a kioldási karakterisztikára, a 10 pedig a 10 A névleges áramra utal.;védelem;kismegszakító;1;1;10;S0023;5. oldal;igaz-hamis,kismegszakító,karakterisztika;hu;;
Q0101;single_choice;Mekkora az Uo értéke háromfázisú rendszerben a hurokimpedancia képletében?;Háromfázisú 400/230 V rendszerben az Uo értéke 230 V.;érintésvédelem;hurokimpedancia;1;1;15;S0021;4. oldal;Uo,hurokimpedancia,érintésvédelem;hu;;
